k,value,height
1,0.217594,50.1
2,0.22007,50.1
4,0.224666,50.1
8,0.228891,50.1
16,0.235297,50.1
32,0.240624,50.1
64,0.243842,50.1
128,0.249786,50.1
256,0.252299,50.1
512,0.258105,50.2
1024,0.262092,50
2048,0.268771,50.1
4096,0.27586,50.3
8192,0.286284,50.6
16384,0.29996,50.6
32768,0.32092,49.9
65536,0.350607,50.4
131072,0.411962,50.5
262144,0.531058,51.2
524288,0.645863,50.8
1048576,0.775448,50.3
