k,value,height
1,0.359504,21
2,0.361605,21
4,0.362288,21
8,0.364499,21
16,0.368823,21
32,0.367752,21
64,0.370243,21.3
128,0.369571,21.8
256,0.369577,21.9
512,0.372865,22
1024,0.377426,22.2
2048,0.379523,22.5
4096,0.385637,23
8192,0.392475,23
16384,0.402954,23
32768,0.41912,23.6
65536,0.445874,23.8
131072,0.492258,24
262144,0.564746,24
524288,0.653372,24.1
1048576,0.731487,24
