k,value,height
1048576,0.477516,235
524288,0.420848,610
262144,0.364424,1403
131072,0.359802,2452
65536,0.442376,3175
32768,0.885836,7364
16384,1.4461,8352
8192,2.78932,13401
4096,4.87388,13501
2048,9.61782,27210
1024,22.2032,61990
512,36.8404,82186
256,60.6658,90845
128,191.192,188883
64,247.55,249846
32,291.255,249861
16,490.75,265827
8,1291.15,554464
4,1504.68,623343
2,3594.38,787456
1,3966.74,875995
