n,time
2048,0
4096,0.0003102
8192,0.0003719
16384,0.0006002
32768,0.0013025
65536,0.0024499
131072,0.0043604
262144,0.0091368
524288,0.0185528
1048576,0.0381435
2097152,0.0763823
4194304,0.153065
8388608,0.303394
16777216,0.608206
33554432,1.22505
