n,time
2048,0.00203333
4096,0.00755733
8192,0.0338917
16384,0.118974
32768,0.460619
65536,1.80172
131072,7.47567
262144,45.677
524288,192.489
1048576,772.909
2097152,1408.026994022613
4194304,2858.9022834077623
8388608,5760.65286217806
16777216,11564.154019718657
33554432,23171.15633479985
