n,time
2048,0
4096,0
8192,0
16384,0
32768,0
65536,0
131072,9.96e-011
262144,2.012e-010
524288,2.062e-010
1048576,8.924e-010
2097152,1.6171e-009
4194304,3.3919e-009
8388608,6.4031e-009
16777216,1.1804e-008
33554432,2.62578e-008
