n,time
2048,0
4096,0
8192,0
16384,0
32768,0.0001037
65536,0.000196
131072,0.0004128
262144,0.0005006
524288,0.0013119
1048576,0.0026907
2097152,0.0056383
4194304,0.011926
8388608,0.0242522
16777216,0.0458681
33554432,0.0956617
