n,time
2048,0
4096,0
8192,0
16384,0
32768,0
65536,9.97e-005
131072,0.0002036
262144,0.0003003
524288,0.0010129
1048576,0.0017852
2097152,0.0029126
4194304,0.0067097
8388608,0.012202
16777216,0.0266706
33554432,0.0515615
