n,time
2048,0
4096,1.103e-010
8192,2.002e-010
16384,2.999e-010
32768,5.069e-010
65536,9.901e-010
131072,1.6712e-009
262144,3.1904e-009
524288,5.877e-009
1048576,1.17007e-008
2097152,2.37129e-008
4194304,4.74246e-008
8388608,9.54456e-008
16777216,1.91767e-007
33554432,3.80154e-007
